# _tick,_time,frames,total_loss,frames,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss
315,1645382547.10558,1008000,36.4272651672363,1008000,0,0.886151313781738,0.015846103429794,-0.088741213083267,0,0.000920924125239,0.000920924125239,0.014554215595126,0.538929581642151,17.8100872039795,17.8039207458496
316,1645382569.54504,1011200,42.9057807922363,1011200,0,0.049380596727133,0.023601708933711,-0.088352642953396,0,0.001017803675495,0.001017803675495,0.015925168991089,0.537041068077087,25.2025833129883,17.7185668945312
317,1645382592.24174,1014400,36.7114791870117,1014400,0,-0.261474907398224,0.022495890036225,-0.088940784335137,0,0.000952745089307,0.000952745089307,0.01512797549367,0.533122301101685,19.0083045959473,18.0310955047607
318,1645382614.68488,1017600,42.2461700439453,1017600,0,0.24494069814682,0.015137338079512,-0.090279087424278,0,0.000939933815971,0.000939933815971,0.014757914468646,0.543403625488281,24.0389842987061,18.0373840332031
319,1645382636.97978,1020800,36.075252532959,1020800,0,-0.003917590714991,0.017932090908289,-0.089933380484581,0,0.000948199303821,0.000948199303821,0.014341847971082,0.547578275203705,17.9958953857422,18.1552753448486
320,1645382658.65867,1024000,42.2965469360352,1024000,0,0.222122743725777,0.026352347806096,-0.090023122727871,0,0.000882560678292,0.000882560678292,0.013693436048925,0.529658257961273,23.9014148712158,18.2366790771484
321,1645382680.10995,1027200,35.5987205505371,1027200,0,-0.42027223110199,0.025009786710143,-0.089808031916618,0,0.000893616175745,0.000893616175745,0.013840215280652,0.540692269802094,17.8405170440674,18.2432746887207
322,1645382702.02174,1030400,43.2203598022461,1030400,0,0.390104860067368,0.014242428354919,-0.088267661631107,0,0.000977661693469,0.000977661693469,0.015571309253574,0.533235430717468,24.9692535400391,17.9350261688232
323,1645382723.92305,1033600,35.1045989990234,1033600,0,-0.114618346095085,0.01940992474556,-0.08906214684248,0,0.000894692668226,0.000894692668226,0.014396775513887,0.537302494049072,17.6006908416748,17.6881771087646
324,1645382744.42329,1036800,44.0197219848633,1036800,0,0.678318798542023,0.01516274549067,-0.089331835508347,0,0.000992812681943,0.000992812681943,0.015898855403066,0.536370754241943,25.5512237548828,17.864351272583
