# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,rnd_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards
370,1654532547.85466,1184000,-1.31499373912811,0,-2.13520097732544,0.775272369384766,-0.062407601624727,0.107342474162579,0,0.014830240979791,0.014830240979791
371,1654532590.83205,1187200,0.267514020204544,0,-0.468766152858734,0.686625182628632,-0.057527415454388,0.107182405889034,0,0.01569914072752,0.01569914072752
372,1654532634.51076,1190400,0.298641711473465,0,-0.574511229991913,0.821004450321198,-0.054640460759401,0.106788940727711,0,0.015345029532909,0.015345029532909
373,1654532671.95145,1193600,0.636345207691193,0,-0.212451830506325,0.800259172916412,-0.057811018079519,0.106348879635334,0,0.014369338750839,0.014369338750839
374,1654532711.05696,1196800,1.31626069545746,0,0.476376831531525,0.788253128528595,-0.053017221391201,0.104648008942604,0,0.01544959563762,0.01544959563762
375,1654532751.70675,1200000,-1.08319687843323,0,-2.78733897209167,1.65708112716675,-0.057708792388439,0.104769743978977,0,0.015157705172896,0.015157705172896
376,1654532792.33227,1203200,2.62519955635071,0,1.76683914661407,0.803315997123718,-0.048159837722778,0.103204257786274,0,0.014367867261171,0.014367867261171
377,1654532833.87972,1206400,-0.602212309837341,0,-1.8182315826416,1.16652488708496,-0.055322919040918,0.104817360639572,0,0.013728966936469,0.013728966936469
378,1654532870.62361,1209600,0.824845850467682,0,0.12385069578886,0.654374599456787,-0.056099705398083,0.102720268070698,0,0.013381112366915,0.013381112366915
379,1654532910.72506,1212800,1.95052218437195,0,1.38647675514221,0.520734190940857,-0.05930083617568,0.102612063288689,0,0.014327201060951,0.014327201060951
380,1654532950.14884,1216000,1.12173318862915,0,0.032946646213532,1.04738807678223,-0.062872543931007,0.104271039366722,0,0.015658888965845,0.015658888965845
381,1654532986.95261,1219200,0.237334966659546,0,-0.557328581809998,0.754009068012237,-0.062425743788481,0.103080227971077,0,0.015107579529286,0.015107579529286
382,1654533022.83821,1222400,-0.335333108901978,0,-0.747089266777039,0.374572426080704,-0.065991118550301,0.103174865245819,0,0.014714212156832,0.014714212156832
383,1654533065.2312,1225600,0.066325947642326,0,-0.329292714595795,0.350575625896454,-0.062347773462534,0.107390806078911,0,0.015979630872607,0.015979630872607
384,1654533104.86917,1228800,0.297476977109909,0,-0.350756853818893,0.604965627193451,-0.061894625425339,0.10516282916069,0,0.014110751450062,0.014110751450062
385,1654533144.36109,1232000,3.28790354728699,0,2.69328546524048,0.549712419509888,-0.05963808298111,0.104543760418892,0,0.012172434478998,0.012172434478998
386,1654533184.38932,1235200,-1.3100997209549,0,-2.01110911369324,0.657353937625885,-0.059604112058878,0.103259675204754,0,0.012028410099447,0.012028410099447
387,1654533222.48134,1238400,0.08036482334137,0,-0.129197746515274,0.162461459636688,-0.057007845491171,0.104108959436417,0,0.012275722809136,0.012275722809136
388,1654533268.10928,1241600,0.704025685787201,0,0.321700483560562,0.338883697986603,-0.058841414749622,0.102282859385014,0,0.01470002066344,0.01470002066344
389,1654533306.96224,1244800,0.1952183842659,0,-0.726573884487152,0.877139210700989,-0.059579756110907,0.104232810437679,0,0.014887804165483,0.014887804165483
390,1654533351.68503,1248000,2.09034872055054,0,1.23932909965515,0.80995374917984,-0.060965742915869,0.102031745016575,0,0.014773952774704,0.014773952774704
391,1654533391.87536,1251200,-0.266280710697174,0,-1.22984349727631,0.932595312595367,-0.068829625844956,0.099797107279301,0,0.013749343343079,0.013749343343079
392,1654533430.205,1254400,0.864951491355896,0,0.39233335852623,0.439157158136368,-0.065681897103787,0.099142819643021,0,0.013262758031488,0.013262758031488
393,1654533475.75145,1257600,-0.134701818227768,0,-0.491546213626862,0.325798809528351,-0.070505850017071,0.101551443338394,0,0.014312223531306,0.014312223531306
394,1654533516.83693,1260800,1.49677109718323,0,1.10312533378601,0.366063892841339,-0.072584480047226,0.10016643255949,0,0.014448147267103,0.014448147267103
395,1654533554.37173,1264000,0.389058232307434,0,-0.136287197470665,0.50067001581192,-0.077515281736851,0.10219069570303,0,0.014435515739024,0.014435515739024
396,1654533592.98939,1267200,-0.614872217178345,0,-1.35973656177521,0.716657817363739,-0.075729958713055,0.103936523199081,0,0.014505161903799,0.014505161903799
397,1654533634.67721,1270400,-0.567517757415772,0,-0.904765844345093,0.303992629051208,-0.071216486394405,0.104471951723099,0,0.013904789462686,0.013904789462686
398,1654533671.49607,1273600,-0.022528126835823,0,-0.397873550653458,0.341428428888321,-0.069647833704949,0.103564828634262,0,0.013677971437574,0.013677971437574
399,1654533712.29763,1276800,-0.355416893959045,0,-0.992175102233887,0.599962830543518,-0.065709836781025,0.102505207061768,0,0.013091878965497,0.013091878965497
400,1654533755.45963,1280000,0.630336284637451,0,0.050924617797136,0.539141833782196,-0.06290689855814,0.103176757693291,0,0.013327687047422,0.013327687047422
401,1654533795.23449,1283200,0.364633679389954,0,-0.040205642580986,0.364380657672882,-0.0632538869977,0.103712551295757,0,0.014256642200053,0.014256642200053
402,1654533837.72352,1286400,0.264254063367844,0,-0.333383560180664,0.558254480361939,-0.061671126633883,0.101054266095161,0,0.014924379996955,0.014924379996955
403,1654533875.44382,1289600,-0.314062595367432,0,-0.796131610870361,0.440571337938309,-0.05908165872097,0.10057932138443,0,0.014296602457762,0.014296602457762
404,1654533916.58395,1292800,0.798611462116241,0,0.10825788974762,0.647783041000366,-0.05673261731863,0.099303141236305,0,0.014726655557752,0.014726655557752
405,1654533957.35253,1296000,-0.115089528262615,0,-0.853697717189789,0.708866000175476,-0.068148739635944,0.097890920937061,0,0.014315619133413,0.014315619133413
406,1654533997.93273,1299200,3.37113857269287,0,2.72662377357483,0.605845749378204,-0.058899909257889,0.097568891942501,0,0.013501320034266,0.013501320034266
407,1654534038.88297,1302400,-2.51812982559204,0,-3.57619643211365,1.02513885498047,-0.065938122570515,0.098866075277329,0,0.013979632407427,0.013979632407427
408,1654534078.07381,1305600,2.81549406051636,0,2.22617793083191,0.557840406894684,-0.066270031034947,0.097745954990387,0,0.014808080159128,0.014808080159128
409,1654534118.64419,1308800,0.816525816917419,0,0.252416431903839,0.533989071846008,-0.067947663366795,0.098067991435528,0,0.013596525415778,0.013596525415778
410,1654534157.71797,1312000,-0.2317715883255,0,-0.977265179157257,0.718022346496582,-0.073573164641857,0.101044423878193,0,0.0147390877828,0.0147390877828
411,1654534198.86415,1315200,0.45755010843277,0,0.015906658023596,0.409765869379044,-0.071585163474083,0.103462740778923,0,0.014163681305945,0.014163681305945
412,1654534240.10273,1318400,1.20839130878448,0,0.550469815731049,0.626910030841827,-0.071656748652458,0.102668188512325,0,0.01608407497406,0.01608407497406
413,1654534280.90249,1321600,-1.07738268375397,0,-1.93260598182678,0.824509143829346,-0.069005824625492,0.0997199639678,0,0.014495539478958,0.014495539478958
414,1654534320.90432,1324800,4.1448016166687,0,3.09329509735107,1.02001702785492,-0.068393535912037,0.099883206188679,0,0.014970326796174,0.014970326796174
415,1654534361.1065,1328000,-1.32251191139221,0,-2.3870735168457,1.03157377243042,-0.067501932382584,0.100489787757397,0,0.014322942122817,0.014322942122817
416,1654534399.4377,1331200,0.467066496610642,0,0.223443791270256,0.2042436003685,-0.062748894095421,0.102128006517887,0,0.014204552397132,0.014204552397132
417,1654534441.89179,1334400,0.862019062042236,0,0.431390106678009,0.395345568656921,-0.064355276525021,0.099638625979424,0,0.014810690656304,0.014810690656304
418,1654534480.87915,1337600,-1.81275153160095,0,-2.63510155677795,0.791965305805206,-0.067181572318077,0.097566373646259,0,0.013501476496458,0.013501476496458
419,1654534521.29039,1340800,2.90663051605225,0,2.17836308479309,0.699522852897644,-0.067467167973518,0.096211977303028,0,0.013700207695365,0.013700207695365
