# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss,adversarial_loss,batch_action_variance
39,1654127758.35711,62400,38.4282531738281,0.020243901759386,1.44187068939209,0.055384069681168,-0.048424001783133,0.000518749991897,0.000590739829931,0.001109489705414,0.014885272830725,0.243750005960464,24.5899600982666,9.6763916015625,2.71306896209717,3.24609375
40,1654127761.114,64000,34.8407249450684,0,-1.19849610328674,0.006255670916289,-0.048405613750219,0,0.000633595162071,0.000633595162071,0.015175435692072,0.232500001788139,23.7422752380371,9.6920690536499,2.64702653884888,4.05859375
41,1654127764.25999,65600,37.4811859130859,0.043035715818405,1.97090494632721,0.120252534747124,-0.048416700214148,0.001129687414505,0.000608549802564,0.001738237333484,0.014814699999988,0.251249998807907,23.0038299560547,9.68386363983154,2.75075316429138,4
42,1654127767.16632,67200,34.1952667236328,0.02926829084754,-0.473071932792664,0.060226768255234,-0.048337366431952,0.000749999948312,0.000518168963026,0.001268168794923,0.016488533467054,0.241249993443489,22.329044342041,9.66002559661865,2.66737580299377,2.7880859375
43,1654127770.35601,68800,33.8555107116699,0.031219512224197,-0.35729369521141,0.076478496193886,-0.048331521451473,0.00079999997979,0.00060999696143,0.001409996999428,0.01594939082861,0.254999995231628,21.7716331481934,9.64950275421143,2.76352381706238,3.5771484375
44,1654127773.13077,70400,33.4620704650879,0.055792681872845,0.809404790401459,0.088269822299481,-0.048281893134117,0.001429687486961,0.000565885915421,0.001995573285967,0.014009797945619,0.248125001788139,20.2415046691895,9.63773536682129,2.73343920707703,2.8115234375
45,1654127776.28768,72000,30.2078304290771,0,-2.94618630409241,0.023933215066791,-0.048104453831911,0,0.000598754384555,0.000598754384555,0.015881476923823,0.247500002384186,20.7731838226318,9.6699686050415,2.73503684997559,2.9130859375
46,1654127779.3868,73600,31.9656753540039,0.022195123136044,1.04968726634979,0.024268317967653,-0.048229228705168,0.000568750023376,0.000495414948091,0.001064164913259,0.012804947793484,0.211250007152557,18.7827434539795,9.64183712005615,2.51536965370178,3.30859375
47,1654127782.49412,75200,33.5175666809082,0.023812498897314,0.837636828422546,0.022711742669344,-0.048124402761459,0.000595312507357,0.000717482995242,0.001312795677222,0.016594836488366,0.252499997615814,20.2236099243164,9.67843532562256,2.80329847335815,4.3349609375
48,1654127785.64902,76800,31.1298179626465,0.039821427315474,0.471402704715729,0.089831322431564,-0.048099432140589,0.001045312499627,0.000533782003913,0.001579094678164,0.014007888734341,0.241249993443489,18.2802734375,9.66173458099365,2.67467522621155,4.375
49,1654127788.47638,78400,28.9238815307617,0.018048780038953,-1.15857481956482,0.037689570337534,-0.048079859465361,0.00046250000014,0.000542405527085,0.001004905556329,0.01349882222712,0.249375000596046,17.748462677002,9.61653327941895,2.72784948348999,4.4755859375
50,1654127791.43059,80000,30.3533706665039,0.019625000655651,0.212595701217651,0.040378533303738,-0.048054903745651,0.000490625039674,0.00052078202134,0.001011406886391,0.014416174031794,0.245625004172325,17.7953987121582,9.65450382232666,2.69854831695557,3.27734375
51,1654127794.21955,81600,29.2394924163818,0.037440475076437,0.124723508954048,0.068610437214375,-0.047994911670685,0.000982812489383,0.000524086703081,0.001506899250671,0.012113468721509,0.233750000596046,16.8553695678711,9.61331653594971,2.62546682357788,3.87109375
52,1654127797.28207,83200,29.7327880859375,0.042202383279801,0.580207467079163,0.064757846295834,-0.047878909856081,0.001107812509872,0.000586689740885,0.001694502192549,0.013497335836291,0.251249998807907,16.8507137298584,9.57279777526856,2.71219158172607,3.3662109375
53,1654127800.46202,84800,28.580602645874,0.019062500447035,-1.27288210391998,0.045000944286585,-0.047582887113094,0.000476562534459,0.000611424038652,0.001087986514904,0.014617846347392,0.265625,17.478536605835,9.57977199554443,2.79775857925415,3.7490234375
54,1654127803.34413,86400,30.9534244537353,0.049404762685299,2.17599773406982,0.098079904913902,-0.047493193298578,0.001296875067055,0.000555920065381,0.001852794899605,0.013515838421881,0.256249994039535,16.4445095062256,9.55928993225098,2.72304081916809,3.21484375
55,1654127806.25025,88000,28.1176280975342,0.049512200057507,-1.18869948387146,0.077127203345299,-0.047397058457136,0.001268749940209,0.000544761889614,0.001813511713408,0.013599616475403,0.248125001788139,17.0450000762939,9.52646064758301,2.70513677597046,4.3818359375
